date,equity,cash,gross_exposure,net_exposure,unrealized_pnl_total,realized_pnl_total,fees_paid,total_trades
2024-04-11,79207.4075267549,106930.02679565435,27722.619268899445,-27722.619268899445,-1126.204051928607,-19384.6519111693,281.7365101475233,352
2024-04-12,79619.59271399787,107486.48153987965,27866.888825881768,-27866.888825881768,-713.9015629158719,-19384.6519111693,281.8538119172852,354
2024-04-15,80023.25871401638,108031.43049451653,28008.171780500154,-28008.171780500154,-310.1205781276542,-19384.6519111693,281.96879668700717,356
2024-04-16,80040.73986793713,140075.10033776858,60034.36046983146,-60034.36046983146,-285.88052012051344,-19384.6519111693,288.72770077341846,358
2024-04-17,80584.43485369706,141022.8812487315,60438.44639503442,-60438.44639503442,258.01463615478394,-19384.6519111693,288.9278712887512,360
2024-04-18,80818.97463559685,141433.25881986905,60614.2841842722,-60614.2841842722,492.64113386519557,-19384.6519111693,289.0145870993732,362
2024-04-19,81710.20087084596,142993.05169008294,61282.85081923698,-61282.85081923698,1384.1972111224209,-19384.6519111693,289.34442910749533,364
2024-04-22,81119.6532684304,141959.5171376503,60839.86386921992,-60839.86386921992,780.3222619185359,-19371.106413488484,289.5625799999899,366
2024-04-23,80304.41901919483,140532.9064914018,60228.48747220698,-60228.48747220698,-34.68267081516217,-19371.0347720136,289.86353797674013,368
2024-04-24,80216.6606950324,140379.17913258192,60162.518437549516,-60162.518437549516,-122.98544385156285,-19370.457802283294,289.89605883304574,370
2024-04-25,80476.12470850357,140833.27345783974,60357.14874933616,-60357.14874933616,136.57442042527734,-19370.457802283294,289.991909638707,372
2024-04-26,79724.23611903236,139517.57661601529,59793.34049698293,-59793.34049698293,-602.7021427315581,-19382.79233529034,290.26940294603423,374
2024-04-29,79496.88545693905,139119.5974113637,59622.71195442466,-59622.71195442466,-824.5416416734297,-19388.219610178,290.35329120980435,376
2024-04-30,80530.87800163882,140929.2552147999,60398.377213161075,-60398.377213161075,209.83288030617692,-19388.219610178,290.7352684896322,378
2024-05-01,80847.17990318208,141482.63545518374,60635.45555200165,-60635.45555200165,526.2517049947949,-19388.219610178,290.8521916349852,380
2024-05-02,80176.40143884996,140308.84608594605,60132.44464709608,-60132.44464709608,-142.17446972048873,-19390.324278592867,291.0998128369528,382
2024-05-03,79199.07380942628,138598.59138834008,59399.5175789138,-59399.5175789138,-1088.424821749988,-19421.041008813158,291.46036001086736,384
2024-05-06,78566.82551355117,137492.07663323684,58925.251119685665,-58925.251119685665,-1688.777680846858,-19452.703408527523,291.6933970747498,386
2024-05-07,78529.61332149454,137426.82993807178,58897.21661657723,-58897.21661657723,-1723.989164880636,-19454.69039911752,291.707114507584,388
2024-05-08,78544.15251782557,137452.270733498,58908.118215672446,-58908.118215672446,-1709.4445923300682,-19454.69039911752,291.71249072714414,390
2024-05-09,78310.10229513861,137042.72337174177,58732.62107660316,-58732.62107660316,-1929.4472401494063,-19468.651832270887,291.7986324413971,392
2024-05-10,78202.98627822554,136855.2494712681,58652.263193042556,-58652.263193042556,-2030.1714476451084,-19475.004147524054,291.8381266056205,394
2024-05-13,78131.35452179448,136729.887821302,58598.533299507515,-58598.533299507515,-2097.4983228845244,-19479.282586879915,291.86456844139434,396
